policy,knob,config,cost_instance_hours,slo_violation_fraction,slo_threshold_s,p50_age_s,p99_age_s,max_age_s,mean_instances,messages_arrived,messages_completed,unprocessed_at_end,completion_fraction
backlog_per_instance,90.0,"budget=90s, floor=0",16766.562192902944,0.709465737514518,60.0,107.20757526249508,226.54385534782838,236.21642275794875,43.95133565621371,1249487,1249280,207,0.9998343320098568
backlog_per_instance,90.0,"budget=90s, floor=20",15063.596946664955,0.5255516840882695,60.0,67.13470662583131,180.60893292975615,201.35618980997242,44.303077816492454,1249487,1249414,73,0.9999415760227998
backlog_per_instance,90.0,"budget=90s, floor=40",14707.24237758847,0.4272357723577236,60.0,34.22748213639716,141.8357005796623,171.37509171140846,48.30301974448316,1249487,1249448,39,0.9999687871902628
backlog_per_instance,90.0,"budget=90s, floor=60",17786.134542026222,0.08426248548199768,60.0,0.0,109.78311429358386,151.04960406105965,61.303716608594655,1249487,1249450,37,0.9999703878471725
backlog_per_instance,90.0,"budget=90s, floor=80",23121.952474933736,0.013995354239256678,60.0,0.0,80.44763128927102,122.7372196787037,80.21120789779326,1249487,1249450,37,0.9999703878471725
backlog_per_instance,120.0,"budget=120s, floor=0",14000.573349526248,0.8645760743321719,60.0,125.34882738714805,242.82443466776874,255.97280945722014,39.8869918699187,1249487,1249375,112,0.9999103632130626
backlog_per_instance,120.0,"budget=120s, floor=20",13324.377280493272,0.6753774680603949,60.0,110.5294957718288,196.4441023267062,217.9450037969509,41.5835656213705,1249487,1249237,250,0.9997999178863005
backlog_per_instance,120.0,"budget=120s, floor=40",14355.088832447633,0.5227642276422764,60.0,78.21251262322767,163.2521302654938,196.13900997978635,47.83159117305459,1249487,1249362,125,0.9998999589431503
backlog_per_instance,120.0,"budget=120s, floor=60",17714.101535314672,0.10447154471544716,60.0,0.0,135.26704873719603,176.22573830280453,61.200987224157956,1249487,1249450,37,0.9999703878471725
backlog_per_instance,120.0,"budget=120s, floor=80",23109.642635272397,0.016957026713124275,60.0,0.0,114.99822390201086,146.29516151419375,80.19564459930314,1249487,1249450,37,0.9999703878471725
backlog_per_instance,180.0,"budget=180s, floor=0",10987.587903404394,0.9955865272938443,60.0,180.68392165389378,225.56134238771114,330.79831655486487,36.70725900116144,1249487,1249248,239,0.9998087214993033
backlog_per_instance,180.0,"budget=180s, floor=20",11925.546044231749,0.7170150987224158,60.0,175.25489847444987,207.0103881758277,229.50649943191092,40.201800232288036,1249487,1249248,239,0.9998087214993033
backlog_per_instance,180.0,"budget=180s, floor=40",13875.009123247963,0.5419279907084785,60.0,150.32498476837645,201.9988717594024,220.80771563597955,47.3191637630662,1249487,1249264,223,0.99982152675458
backlog_per_instance,180.0,"budget=180s, floor=60",17635.476185137988,0.11504065040650406,60.0,0.0,189.8905280728179,224.11367397406138,61.094018583042974,1249487,1249450,37,0.9999703878471725
backlog_per_instance,180.0,"budget=180s, floor=80",23097.16889201465,0.018641114982578397,60.0,0.0,174.7921038906816,203.41305439791176,80.17473867595818,1249487,1249450,37,0.9999703878471725
backlog_per_instance,300.0,"budget=300s, floor=0",10689.967095748907,1.0,60.0,297.54459489299916,329.8531679463656,402.6321122471127,36.39663182346109,1249487,1249084,403,0.9996774676327165
backlog_per_instance,300.0,"budget=300s, floor=20",11668.007578625075,0.7251451800232288,60.0,294.0708301511404,319.0995677179786,335.06773024611175,39.90993031358885,1249487,1249083,404,0.9996766673042616
backlog_per_instance,300.0,"budget=300s, floor=40",13680.840052643376,0.554123112659698,60.0,266.27228082453075,316.83243688395834,329.90717751008924,47.07096399535424,1249487,1249083,404,0.9996766673042616
backlog_per_instance,300.0,"budget=300s, floor=60",17588.889828217085,0.12195121951219512,60.0,0.0,307.1392598035956,320.3014267788385,61.00696864111498,1249487,1249450,37,0.9999703878471725
backlog_per_instance,300.0,"budget=300s, floor=80",23086.128673836643,0.02061556329849013,60.0,0.0,294.1862132553538,317.06129080813844,80.14854819976772,1249487,1249450,37,0.9999703878471725
backlog_per_instance,600.0,"budget=600s, floor=0",10548.609343458995,1.0,60.0,593.5972970565199,643.1380900124941,746.2402430280345,36.24773519163763,1249487,1248645,842,0.9993261234410602
backlog_per_instance,600.0,"budget=600s, floor=20",11522.086677394771,0.7369918699186991,60.0,589.0392213656451,629.3420071269799,657.8683058048482,39.70452961672474,1249487,1248645,842,0.9993261234410602
backlog_per_instance,600.0,"budget=600s, floor=40",13540.280681567338,0.5695702671312427,60.0,446.5170387826274,623.1807906599873,644.8850357620686,46.821718931475026,1249487,1248646,841,0.999326923769515
backlog_per_instance,600.0,"budget=600s, floor=60",17540.067805678573,0.13559814169570267,60.0,0.0,608.2344509075832,635.2502045126748,60.875087108013936,1249487,1249334,153,0.999877549746416
backlog_per_instance,600.0,"budget=600s, floor=80",23070.121488706336,0.02392566782810685,60.0,0.0,558.3626061733211,616.0935562807135,80.10029036004646,1249487,1249450,37,0.9999703878471725
arrival_rate,0.3,"util=0.3, window=3m",35994.433333333334,0.0,60.0,0.0,0.0,18.460982243763283,121.68548199767712,1249487,1249450,37,0.9999703878471725
arrival_rate,0.3,"util=0.3, window=5m",35622.816666666666,0.0,60.0,0.0,0.0,14.417938262689859,121.5088850174216,1249487,1249450,37,0.9999703878471725
arrival_rate,0.3,"util=0.3, window=10m",35244.11666666667,0.0,60.0,0.0,0.0,9.532536682119826,121.01672473867596,1249487,1249450,37,0.9999703878471725
arrival_rate,0.3,"util=0.3, window=15m",35128.73333333333,0.0,60.0,0.0,0.0,8.192957967054099,120.89564459930314,1249487,1249450,37,0.9999703878471725
arrival_rate,0.4,"util=0.4, window=3m",27025.433333333334,5.8072009291521487e-05,60.0,0.0,0.0,64.30089375143871,91.35615563298491,1249487,1249450,37,0.9999703878471725
arrival_rate,0.4,"util=0.4, window=5m",26731.200363316173,0.0,60.0,0.0,0.0,50.96955777646508,91.16968641114983,1249487,1249450,37,0.9999703878471725
arrival_rate,0.4,"util=0.4, window=10m",26453.883763557693,0.0,60.0,0.0,0.0,41.26972270582337,90.82624854819977,1249487,1249450,37,0.9999703878471725
arrival_rate,0.4,"util=0.4, window=15m",26372.2,0.0,60.0,0.0,0.0,41.26972270582337,90.75801393728223,1249487,1249450,37,0.9999703878471725
arrival_rate,0.5,"util=0.5, window=3m",21612.07342885026,0.00017421602787456446,60.0,0.0,1.947981101356932,67.03045882296283,73.06045296167247,1249487,1249450,37,0.9999703878471725
arrival_rate,0.5,"util=0.5, window=5m",21404.703043742877,5.8072009291521487e-05,60.0,0.0,0.0,73.45819609961472,73.0000580720093,1249487,1249450,37,0.9999703878471725
arrival_rate,0.5,"util=0.5, window=10m",21188.454979472564,5.8072009291521487e-05,60.0,0.0,0.0,73.45819609961472,72.74117305458769,1249487,1249450,37,0.9999703878471725
arrival_rate,0.5,"util=0.5, window=15m",21120.100197370666,0.0,60.0,0.0,0.0,52.27995509275934,72.67729384436701,1249487,1249450,37,0.9999703878471725
arrival_rate,0.6,"util=0.6, window=3m",18055.48102029179,0.0006968641114982578,60.0,0.0,13.100693670540371,89.49378035939299,61.02839721254355,1249487,1249450,37,0.9999703878471725
arrival_rate,0.6,"util=0.6, window=5m",17870.38195677326,0.0004645760743321719,60.0,0.0,9.444551932348244,85.11997053097002,60.94436701509872,1249487,1249450,37,0.9999703878471725
arrival_rate,0.6,"util=0.6, window=10m",17681.93636276049,0.00029036004645760743,60.0,0.0,6.738918955111926,85.11997053097002,60.70040650406504,1249487,1249450,37,0.9999703878471725
arrival_rate,0.6,"util=0.6, window=15m",17625.957385887898,0.0003484320557491289,60.0,0.0,7.318991719330574,73.45819609961472,60.649651567944254,1249487,1249450,37,0.9999703878471725
arrival_rate,0.7,"util=0.7, window=3m",15494.66682737029,0.002613240418118467,60.0,0.0,29.700758645769984,133.45819609961472,52.37636469221835,1249487,1249450,37,0.9999703878471725
arrival_rate,0.7,"util=0.7, window=5m",15340.025985082388,0.0009872241579558653,60.0,0.0,19.060726229007145,134.41793826268986,52.313879210220676,1249487,1249450,37,0.9999703878471725
arrival_rate,0.7,"util=0.7, window=10m",15176.592498935372,0.0015098722415795587,60.0,0.0,20.763950134296323,95.88241876766551,52.097851335656216,1249487,1249450,37,0.9999703878471725
arrival_rate,0.7,"util=0.7, window=15m",15128.165373098464,0.0009291521486643438,60.0,0.0,19.959560834496614,95.88241876766551,52.0527293844367,1249487,1249450,37,0.9999703878471725
arrival_rate,0.8,"util=0.8, window=3m",13571.93573086107,0.006678281068524971,60.0,0.0,50.12870326667514,134.41793826268986,45.86747967479675,1249487,1249450,37,0.9999703878471725
arrival_rate,0.8,"util=0.8, window=5m",13423.329581210128,0.004878048780487805,60.0,0.0,45.950093892925665,154.87347626627889,45.76620209059234,1249487,1249450,37,0.9999703878471725
arrival_rate,0.8,"util=0.8, window=10m",13286.073730351427,0.005981416957026713,60.0,0.0,47.158269949997226,132.764140174957,45.6061556329849,1249487,1249450,37,0.9999703878471725
arrival_rate,0.8,"util=0.8, window=15m",13245.975248487668,0.008188153310104529,60.0,0.0,53.04277885355323,129.53253668211983,45.57253193960511,1249487,1249450,37,0.9999703878471725
arrival_rate,0.9,"util=0.9, window=3m",12075.022052108368,0.024738675958188152,60.0,0.0,83.69344842752588,174.17423820475233,40.799419279907085,1249487,1249450,37,0.9999703878471725
arrival_rate,0.9,"util=0.9, window=5m",11945.477655666564,0.02450638792102207,60.0,0.0,84.98957208633564,160.4692973398487,40.72932636469222,1249487,1249450,37,0.9999703878471725
arrival_rate,0.9,"util=0.9, window=10m",11825.937510506059,0.03403019744483159,60.0,0.0,98.95135345620794,179.04256798163988,40.58693379790941,1249487,1249450,37,0.9999703878471725
arrival_rate,0.9,"util=0.9, window=15m",11790.355549823207,0.07073170731707316,60.0,0.0,144.62459070331542,250.7508174624527,40.5595818815331,1249487,1249450,37,0.9999703878471725
arrival_rate,1.0,"util=1, window=3m",10863.337306369916,0.7209059233449477,60.0,135.7602002712665,296.3315353776656,340.3753662677482,36.687514518002324,1249487,1249448,39,0.9999687871902628
arrival_rate,1.0,"util=1, window=5m",10761.37133451028,0.5612078977932636,60.0,76.43314253482095,273.21698508977335,316.6139051274513,36.684610917537746,1249487,1249449,38,0.9999695875187177
arrival_rate,1.0,"util=1, window=10m",10667.73507641782,0.674506387921022,60.0,146.23928844521288,306.37340979106926,330.3981513044564,36.59674796747967,1249487,1249449,38,0.9999695875187177
arrival_rate,1.0,"util=1, window=15m",10661.687614460478,0.6737514518002323,60.0,148.733761286363,311.141709255816,341.0376960435533,36.655632984901274,1249487,1249449,38,0.9999695875187177
forecast_seasonal_naive_pure,0.5,"q=0.5, util=0.7",15959.086265254336,0.14889663182346108,60.0,0.0,16739.500778363767,22019.191203060676,52.45249709639953,1249487,1249418,69,0.9999447773366189
forecast_seasonal_naive_composed,0.5,"q=0.5, util=0.7",16451.004327294257,0.00023228803716608595,60.0,0.0,9.185401327334555,76.89843032488716,54.77677119628339,1249487,1249450,37,0.9999703878471725
forecast_seasonal_naive_pure,0.5,"q=0.5, util=0.85",13164.639419244333,0.3952380952380952,60.0,3.177934611332603,30906.69662943582,32196.48108631838,43.231939605110334,1249487,1247966,1521,0.9987827004202525
forecast_seasonal_naive_composed,0.5,"q=0.5, util=0.85",14464.620395206122,0.0005807200929152149,60.0,0.0,15.777538940368983,96.68733863593661,48.86306620209059,1249487,1249450,37,0.9999703878471725
forecast_seasonal_naive_pure,0.5,"q=0.5, util=1",11218.23103834187,0.8031939605110336,60.0,7829.657122424222,47525.846653198,48849.47783095972,36.80702671312427,1249487,1198730,50757,0.9593777286198256
forecast_seasonal_naive_composed,0.5,"q=0.5, util=1",13708.788923696302,0.0008710801393728223,60.0,0.0,22.750435811388325,96.68733863593661,46.76660859465738,1249487,1249450,37,0.9999703878471725
forecast_seasonal_naive_pure,0.7,"q=0.7, util=0.7",17705.945395610368,0.04686411149825784,60.0,0.0,1057.186345801215,1197.6540790209547,58.33925667828107,1249487,1249448,39,0.9999687871902628
forecast_seasonal_naive_composed,0.7,"q=0.7, util=0.7",17951.80640102693,5.8072009291521487e-05,60.0,0.0,2.7195295834762625,61.080952808479196,59.53379790940767,1249487,1249450,37,0.9999703878471725
forecast_seasonal_naive_pure,0.7,"q=0.7, util=0.85",14602.972601848862,0.21736353077816492,60.0,0.0,22159.270507877354,27035.411664743908,48.08263646922183,1249487,1249177,310,0.9997518981790127
forecast_seasonal_naive_composed,0.7,"q=0.7, util=0.85",15364.05818610615,0.00023228803716608595,60.0,0.0,7.631728636014162,76.89843032488716,51.51242740998838,1249487,1249450,37,0.9999703878471725
forecast_seasonal_naive_pure,0.7,"q=0.7, util=1",12435.386773807873,0.5098722415795587,60.0,85.66903189240838,32912.343329914496,34106.02255596401,40.919744483159114,1249487,1242204,7283,0.9941712078637073
