model,quantile,mae,pinball_loss,coverage,n
seasonal_naive,0.5,14.475208704563471,7.2376043522817355,0.4977700550246163,17265
seasonal_naive,0.7,16.17518207309365,6.695641897060941,0.6788879235447437,17265
seasonal_naive,0.8,18.824204151167454,5.648248294523905,0.7714451201853461,17265
seasonal_naive,0.9,24.268267742099862,3.8390497884106023,0.8711265566174341,17265
seasonal_naive,0.95,31.247104820410968,2.452037725933491,0.9310165073848827,17265
seasonal_naive,0.99,52.520119152225895,0.7327732739684362,0.984071821604402,17265
seasonal_naive_adjusted,0.5,10.889859060147328,5.444929530073664,0.5100492325514046,17265
seasonal_naive_adjusted,0.7,12.77501883095871,4.898386937238966,0.7059368664929048,17265
seasonal_naive_adjusted,0.8,15.265352865351709,4.0345368920708635,0.8026643498407182,17265
seasonal_naive_adjusted,0.9,20.3276959727164,2.6368985411515125,0.9011873732985809,17265
seasonal_naive_adjusted,0.95,25.877514235290096,1.6275777728880818,0.9494352736750652,17265
seasonal_naive_adjusted,0.99,40.91389924673552,0.47401321838127664,0.9898638864755285,17265
lightgbm,0.5,7.6968855852988405,3.8484427926494202,0.480915146249638,17265
lightgbm,0.7,8.33363154489438,3.481591032745389,0.6690414132638286,17265
lightgbm,0.8,9.612477644503722,2.9068071593347726,0.7657109759629308,17265
lightgbm,0.9,12.335927417876803,1.9626703462519286,0.866319142774399,17265
lightgbm,0.95,15.086336500072758,1.2123495082353126,0.9230813785114393,17265
lightgbm,0.99,21.585574585068553,0.3964494627266178,0.9732406602953954,17265
