policy,knob,config,cost_instance_hours,slo_violation_fraction,slo_threshold_s,p50_age_s,p99_age_s,max_age_s,mean_instances,messages_arrived,messages_completed,unprocessed_at_end,completion_fraction
backlog_per_instance,45.0,"budget=45s, floor=80",92212.36496605961,0.00024616275702287865,60.0,0.0,0.0,75.26515836734325,80.02948161019404,4722644,4722583,61,0.999987083506612
backlog_per_instance,60.0,"budget=60s, floor=0",88770.74477751729,0.5307993049522155,60.0,66.3750450485968,209.75054025262597,218.46744817699073,54.6578337677382,4722644,4722309,335,0.9999290651592625
backlog_per_instance,60.0,"budget=60s, floor=20",65632.30252175675,0.3899507674485954,60.0,38.79478235973511,153.80556975518823,176.86783633660525,46.46810020272227,4722644,4722574,70,0.9999851777944727
backlog_per_instance,60.0,"budget=60s, floor=40",58564.529302026895,0.21770923834346945,60.0,1.8721615608083084,108.76880550106056,151.4558986928314,47.59733565015928,4722644,4722486,158,0.9999665441646671
backlog_per_instance,60.0,"budget=60s, floor=60",69979.58670829536,0.01912829423689545,60.0,0.0,67.8590506683966,120.11383507680148,60.50883289892847,4722644,4722533,111,0.9999764962169496
backlog_per_instance,60.0,"budget=60s, floor=80",92200.10530626109,0.0007529684332464524,60.0,0.0,0.0,98.40550288325176,80.02403706921517,4722644,4722583,61,0.999987083506612
backlog_per_instance,90.0,"budget=90s, floor=0",63642.632502031825,0.7051404575731248,60.0,107.03312257060315,226.58109006457963,240.14050867891638,41.73732985809441,4722644,4722424,220,0.9999534159254858
backlog_per_instance,90.0,"budget=90s, floor=20",56328.07545372454,0.5223573704025485,60.0,66.40273744234582,177.39006697168577,199.53406846849248,41.82674485954243,4722644,4722486,158,0.9999665441646671
backlog_per_instance,90.0,"budget=90s, floor=40",55890.7495434093,0.3980596582681726,60.0,14.981416632188484,134.15616822816784,168.15840635681525,46.38137851143933,4722644,4722429,215,0.9999544746544521
backlog_per_instance,90.0,"budget=90s, floor=60",69784.26707698333,0.043990732696206195,60.0,0.0,97.6968907020149,155.5557935400866,60.42128583840139,4722644,4722533,111,0.9999764962169496
backlog_per_instance,90.0,"budget=90s, floor=80",92187.28177772726,0.0017086591369823343,60.0,0.0,0.0,113.83660861011595,80.01743411526209,4722644,4722583,61,0.999987083506612
backlog_per_instance,120.0,"budget=120s, floor=0",52729.58587007503,0.8644077613669273,60.0,125.17278643720783,242.44204124985728,262.7866879036592,37.70457573124819,4722644,4722357,287,0.9999392289573383
backlog_per_instance,120.0,"budget=120s, floor=20",49989.41671793828,0.6700405444540979,60.0,110.55155450427992,193.29733404081784,216.12461695680395,39.388155227338544,4722644,4722355,289,0.9999388054657518
backlog_per_instance,120.0,"budget=120s, floor=40",54794.15302802569,0.47962641181581234,60.0,33.09636835032143,156.89616547412007,185.31801339844242,46.03533159571387,4722644,4722323,321,0.999932029600368
backlog_per_instance,120.0,"budget=120s, floor=60",69689.75872533735,0.057211120764552564,60.0,0.0,127.37737396612765,166.35070472862571,60.38194323776426,4722644,4722533,111,0.9999764962169496
backlog_per_instance,120.0,"budget=120s, floor=80",92182.69688569428,0.002620909354184767,60.0,0.0,0.0,147.34531153924763,80.0146828844483,4722644,4722583,61,0.999987083506612
backlog_per_instance,180.0,"budget=180s, floor=0",41526.913734245434,0.9954387489139879,60.0,180.52044282201678,226.26724227148938,298.3269497982692,34.726238053866204,4722644,4722238,406,0.999914031207942
backlog_per_instance,180.0,"budget=180s, floor=20",45305.5391177711,0.7097306689834926,60.0,174.8336806729203,206.93661049965306,243.62063521705568,38.219287576020854,4722644,4722237,407,0.9999138194621487
backlog_per_instance,180.0,"budget=180s, floor=40",53429.94572475193,0.49697364610483635,60.0,53.37125694192946,200.86876450404995,232.75535038067028,45.65960034752389,4722644,4722238,406,0.999914031207942
backlog_per_instance,180.0,"budget=180s, floor=60",69572.85308757605,0.06248189979727773,60.0,0.0,184.96602653637999,212.74956523347646,60.33327541268462,4722644,4722533,111,0.9999764962169496
backlog_per_instance,180.0,"budget=180s, floor=80",92174.75878856768,0.0028236316246741965,60.0,0.0,0.0,190.93077169870958,80.01097596293079,4722644,4722583,61,0.999987083506612
backlog_per_instance,300.0,"budget=300s, floor=0",40399.6561012565,0.9998262380538662,60.0,297.4532849212701,332.8891724305181,411.8439742983319,34.42609325224443,4722644,4721998,646,0.9998632122175629
backlog_per_instance,300.0,"budget=300s, floor=20",44312.99247301515,0.7179264407761367,60.0,293.52457160758786,319.61107107030233,344.6098042661324,37.93188531711555,4722644,4721996,648,0.9998627887259763
backlog_per_instance,300.0,"budget=300s, floor=40",52742.97117495529,0.5069070373588184,60.0,77.44300891738385,316.3190865705162,337.1735987676657,45.43136403127715,4722644,4721995,649,0.9998625769801831
backlog_per_instance,300.0,"budget=300s, floor=60",69469.08160579839,0.06798436142484796,60.0,0.0,302.1622980972374,329.53653434617445,60.27609325224442,4722644,4722533,111,0.9999764962169496
backlog_per_instance,300.0,"budget=300s, floor=80",92170.6088147201,0.002997393570807993,60.0,0.0,0.0,312.63784012338147,80.00828265276571,4722644,4722583,61,0.999987083506612
backlog_per_instance,600.0,"budget=600s, floor=0",39883.4671360758,1.0,60.0,592.9797032338101,646.3391745909462,742.6691171950515,34.285128873443384,4722644,4721416,1228,0.9997399761658935
backlog_per_instance,600.0,"budget=600s, floor=20",43782.43835193569,0.7296264118158123,60.0,588.2906763410138,629.08393050107,674.0417222743854,37.73556327830872,4722644,4721416,1228,0.9997399761658935
backlog_per_instance,600.0,"budget=600s, floor=40",52267.89539054659,0.5231972198088619,60.0,144.82377748913132,621.8287449631608,656.7659882593434,45.20286707211121,4722644,4721415,1229,0.9997397644201003
backlog_per_instance,600.0,"budget=600s, floor=60",69353.54649481687,0.07832319721980886,60.0,0.0,597.8241252795142,637.4673504265957,60.19226759339705,4722644,4722533,111,0.9999764962169496
backlog_per_instance,600.0,"budget=600s, floor=80",92162.55281158209,0.003258036490008688,60.0,0.0,0.0,609.1174376038834,80.00192586156965,4722644,4722583,61,0.999987083506612
arrival_rate,0.3,"util=0.3, window=3m",136193.9,0.0,60.0,0.0,0.0,54.72006035177037,115.15509701708659,4722644,4722583,61,0.999987083506612
arrival_rate,0.3,"util=0.3, window=5m",134754.21677960994,0.0,60.0,0.0,0.0,50.72633475670591,115.0332319721981,4722644,4722583,61,0.999987083506612
arrival_rate,0.3,"util=0.3, window=10m",133245.55,0.0,60.0,0.0,0.0,20.271674131974578,114.53538951636259,4722644,4722583,61,0.999987083506612
arrival_rate,0.3,"util=0.3, window=15m",132775.18336355322,0.0,60.0,0.0,0.0,16.725551257375628,114.41172893136402,4722644,4722583,61,0.999987083506612
arrival_rate,0.4,"util=0.4, window=3m",102259.635314364,8.688097306689835e-05,60.0,0.0,0.0,96.74388830305543,86.46049811757892,4722644,4722583,61,0.999987083506612
arrival_rate,0.4,"util=0.4, window=5m",101105.07262449503,1.4480162177816392e-05,60.0,0.0,0.0,69.99563573906198,86.30922386330727,4722644,4722583,61,0.999987083506612
arrival_rate,0.4,"util=0.4, window=10m",100018.67455161113,1.4480162177816392e-05,60.0,0.0,0.0,69.99563573906198,85.96947581812917,4722644,4722583,61,0.999987083506612
arrival_rate,0.4,"util=0.4, window=15m",99677.81724062073,4.3440486533449174e-05,60.0,0.0,0.0,74.38931156462058,85.88449174630756,4722644,4722583,61,0.999987083506612
arrival_rate,0.5,"util=0.5, window=3m",81755.13152256573,0.0004344048653344917,60.0,0.0,2.966236324370861,126.01311438833363,69.11792644077613,4722644,4722583,61,0.999987083506612
arrival_rate,0.5,"util=0.5, window=5m",80970.89338068772,0.00013032145960034753,60.0,0.0,0.0,123.73579302523285,69.11672458731537,4722644,4722583,61,0.999987083506612
arrival_rate,0.5,"util=0.5, window=10m",80111.08245492437,0.00011584129742253113,60.0,0.0,0.0,110.03651905618608,68.85115841297423,4722644,4722583,61,0.999987083506612
arrival_rate,0.5,"util=0.5, window=15m",79836.46980754306,0.00015928178395598031,60.0,0.0,0.0,137.37301371013746,68.78470894874023,4722644,4722583,61,0.999987083506612
arrival_rate,0.6,"util=0.6, window=3m",68334.2017760104,0.0011584129742253113,60.0,0.0,13.755417109197118,148.9827417723136,57.76798436142485,4722644,4722583,61,0.999987083506612
arrival_rate,0.6,"util=0.6, window=5m",67603.69617055208,0.0007674485954242687,60.0,0.0,10.447258202054075,145.00243833614513,57.70066608746018,4722644,4722583,61,0.999987083506612
arrival_rate,0.6,"util=0.6, window=10m",66863.28898519142,0.000666087460179554,60.0,0.0,9.220745691680397,160.54769119946286,57.46227917752679,4722644,4722583,61,0.999987083506612
arrival_rate,0.6,"util=0.6, window=15m",66630.51477528969,0.0004923255140457573,60.0,0.0,8.472439457429576,198.63414370873943,57.40095569070374,4722644,4722583,61,0.999987083506612
arrival_rate,0.7,"util=0.7, window=3m",58641.57136572153,0.003373877787431219,60.0,0.0,29.619337084305034,156.0185302302707,49.57037358818419,4722644,4722583,61,0.999987083506612
arrival_rate,0.7,"util=0.7, window=5m",58043.930879604675,0.0018534607587604981,60.0,0.0,22.154373980302065,150.9918437129818,49.54171734723429,4722644,4722583,61,0.999987083506612
arrival_rate,0.7,"util=0.7, window=10m",57391.370621396614,0.0021141036779611933,60.0,0.0,21.794617537406417,213.28386856615543,49.317014190558936,4722644,4722583,61,0.999987083506612
arrival_rate,0.7,"util=0.7, window=15m",57188.67407543523,0.0018245004344048653,60.0,0.0,23.113146730833716,268.9535181946121,49.26490008688097,4722644,4722583,61,0.999987083506612
arrival_rate,0.8,"util=0.8, window=3m",51364.200839836885,0.008253692441355343,60.0,0.0,54.31634212642921,201.2838548850268,43.41768027801911,4722644,4722583,61,0.999987083506612
arrival_rate,0.8,"util=0.8, window=5m",50778.058260643134,0.006631914277439907,60.0,0.0,49.15507814369674,190.8926199208945,43.3358384013901,4722644,4722583,61,0.999987083506612
arrival_rate,0.8,"util=0.8, window=10m",50251.46932035799,0.008166811468288444,60.0,0.0,54.49822100830796,262.8332374137826,43.17825079640892,4722644,4722583,61,0.999987083506612
arrival_rate,0.8,"util=0.8, window=15m",50081.12148209853,0.01015059368664929,60.0,0.0,60.3867070632053,325.8717878977768,43.13592528236316,4722644,4722583,61,0.999987083506612
arrival_rate,0.9,"util=0.9, window=3m",45713.48940037745,0.024210831161309006,60.0,0.0,87.47261934207532,261.2838548850268,38.63291340863017,4722644,4722580,64,0.9999864482692322
arrival_rate,0.9,"util=0.9, window=5m",45193.993316829765,0.022618013321749203,60.0,0.0,84.81655828911839,225.4265267518349,38.56508832898928,4722644,4722578,66,0.9999860247776458
arrival_rate,0.9,"util=0.9, window=10m",44718.30872191627,0.03680857225600927,60.0,0.0,102.84578161019876,316.8023971905932,38.4210831161309,4722644,4722578,66,0.9999860247776458
arrival_rate,0.9,"util=0.9, window=15m",44570.88997356244,0.06853460758760498,60.0,0.0,143.00409631243306,339.8555590319447,38.387156096148274,4722644,4722580,64,0.9999864482692322
arrival_rate,1.0,"util=1, window=3m",41127.33388686026,0.6965826817260353,60.0,115.13370757410303,293.24397731242124,343.7497592794243,34.74134086301767,4722644,4722439,205,0.9999565921123845
arrival_rate,1.0,"util=1, window=5m",40718.897864489285,0.5080220098465102,60.0,61.804728402988985,258.9050401913496,317.4431106057018,34.74019693020562,4722644,4722441,203,0.999957015603971
arrival_rate,1.0,"util=1, window=10m",40334.8140730325,0.6460179554011005,60.0,125.11368578055408,304.6206673718849,353.35214046249166,34.643208803938606,4722644,4722407,237,0.9999498162470006
arrival_rate,1.0,"util=1, window=15m",40302.711220193676,0.6551694178974804,60.0,144.61171197379008,310.1172754708026,347.2912847143598,34.68828554879815,4722644,4722315,329,0.999930335634022
